14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
14,-22,0,0
21,-22,0,0
21,-22,0,0
21,-22,0,0
21,-22,0,0
21,-22,0,0
34,-20,0,0
34,-20,0,0
34,-20,0,0
39,-19,0,0
30,-19,0,0
30,-19,0,0
30,-19,0,0
15,-19,0,0
15,-19,0,0
15,-19,0,0
15,-19,0,0
15,-19,0,0
15,-19,0,0
9,-19,0,0
9,-19,0,0
9,-12,0,0
9,-12,0,0
9,2,0,0
9,2,0,0
9,2,0,0
9,2,0,0
9,2,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,7,0,0
9,-32,0,0
9,-32,0,0
9,-37,0,0
9,-37,0,0
9,-37,0,0
4,-37,0,0
4,-37,0,0
4,-37,0,0
-11,-37,0,0
-11,-37,0,0
-11,-37,0,0
-11,-37,0,0
-11,-37,0,0
-27,-37,0,0
-27,-37,0,0
-27,-37,0,0
-35,-37,0,0
-35,-37,0,0
-35,-37,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-29,0,0
-35,-14,0,0
-35,-14,0,0
-35,-14,0,0
-35,-14,0,0
-27,-14,0,0
-27,-14,0,0
-11,-14,0,0
-11,-14,0,0
-1,-14,0,0
-1,-14,0,0
-1,-14,0,0
0,-14,0,0
0,-14,0,0
0,-14,0,0
0,-14,0,0
0,-14,0,0
